x,Genre,y,_id
"Jim Lawrence looked at the intruder without answering. He knew Bette Bauer—a tall, beautiful brunette with deep grey-green eyes. There was nothing behind those eyes. She had been in St. Paul's Neuropsychiatric Hospital for three years—a schizophrenic catatonic, completely out of touch with the real world. As he led them down the hall toward Ward 3, Jim wondered about these men. What interest could they have in Bette Bauer? She had once been a brilliant physicist, and had shown signs of actual genius. But something had happened to her shortly after she had received her doctor's degree in theoretical physics. Her mind had become unbalanced, and she had been committed to St. Paul's Hospital.",Abduction Fiction,color,Red
"Settling down to this conclusion, he decided first to go on to the fort, as he could make the distance in a few hours. He had been absent several days, and his return would set at rest any uneasiness that his friends might feel, and possibly avert the awkward consequences of a search for him by several of the hunters at the post.
Accordingly, when he had made up his mind that it was useless to wait any longer by the camp-fire, he slung his rifle over his shoulder, and started at a brisk walk for his headquarters at Fort Abercrombie, which was safely reached within a couple of hours after.
He found every thing here as when he had left, a few days before, and after partaking of breakfast, and remaining a short time, he started on his return to the lodge of Old Ruff, on the Columbia river, below. On the route, he visited the scene of their encampment in the ravine, the night before, thinking it barely possible that Little Rifle had visited it during her absence, but there were no indications of her having done so, and he resumed his walk in an eastward direction.",Abduction Fiction,color,Red
"A young girl sat by a table engaged in embroidering a broad strip of dressed deer-skin with fancifully colored beads and quills—a blue-eyed, slender-looking little woman with shining masses of golden-brown hair falling unconfined about her small, shapely head, and down over her shoulders until it reached the waist of her dress, which fitted her willowy form to perfection, and whose ample folds half concealed, half disclosed a small, neatly-clad foot and well-turned ankle.",Abduction Fiction,color,Red
"The loose stock move dejectedly along, cured of their morning propensity of running from the trail to snatch a mouthful of grass, or nip the tops of a bush, while more than one of the boys, whose duty it is to keep them within proper limits, dozes in their hard saddles. But there are three persons who appear full of life and free from the general weariness of mind and body. There: one of them a woman—a girl; the others men. To one of these fires, a little apart from the remainder, we now turn. Over it was bending the form of an old negro woman, whose wrinkled features and gorgeous red and orange head-gear, looked weird and wild through the flame-tinted smoke.",Abduction Fiction,color,Red
"It was now quite late in the afternoon, and Fred Wainwright reined up his mustang, and from his position took a survey of the surrounding prairie. On his right stretched the broad dusty plain, broken by some rough hills, and on his left wound the Gila, while in the distance could be detected the faint blue of the Maggolien Mountains.
But it was little heed he paid to the natural beauties of the scene, for an uncomfortable fear had taken possession of him during the last hour. Once or twice he was sure he had detected, off towards the mountains signs of Comanche Indians, and he was well satisfied that if such were the case they had assuredly seen him, and just now he was speculating upon the best line of retreat if such were the case.",Abduction Fiction,color,Red
"The Call Of The Wild is a novel by Jack London based on the Darwin’s theory; Survival of the fittest. A dog which is nurtured as pet, unearths the wolf inside it, when exposed to brutal and cruel treatments under harsh circumstances. The story is set in the frozen Canadian Klondike gold rush during 1890s. Central character of this story revolves around Buck, a domesticated dog. Stolen to compensate the gambling debts of the gardener, Buck is sold to the gambling club. The club sells him to Canadian dispatchers and ultimately moved to a Klondike region with extreme climatic conditions where it learns to survive the cold winter. In a rivalry with Spitz, Buck wins and emerges as the leader of the team.",Action & Adventure,color,Blue
"The adventures of Sherlock Holmes is a collection of 12 detective fiction stories by Arthur Conan Doyle.  An inevitable collection of Adventure stories, without which our library would miss the action packed thriller moments of the world famous Sherlock Holmes. It is hard to believe Holmes is only a fictitious character, not a living man. Penned by Conan and published as series of short stories, these detective collections made a huge fortune to the then Strand Magazine for months. These twelve stories are narrated in an enjoyable manner. Yesteryears of conveying messages and train rides bring visuals of the Victorian London. Sherlock is characterized as not just a detective machine but with humanity inside him. It is his counterpart Dr.Watson makes him work. Unlike the contemporary days where we find scientific inventions made detectives to work much easier, resolving mysteries those days are the results of supernatural observations.",Action & Adventure,color,Blue
"The Sea Wolf is Jack London’s another novel with the core theme of Survival of the fittest. An intellectual but soft natured man Humphrey van Weyden is rescued from a ship collision by Wolf Larsen, a brutal, cynical, intelligent and intellectual Captain of a Seal Hunting ship named The Ghost. Wolf Larsen controls the ship and his crew with his arrogance, however somehow takes care of Humphrey. Wolf is combating many situations challenged by his fellow crew members in assuming powerful position of the ship, however he emerges as the winner every time by killing his crew members. In yet another incident a poet named Maud Brewster, who is known to Humphrey as a writer aboard the ship. Soon both Humphrey and Wolf fell in love with her. However Brewster is in love with Humphrey only. As the time passes Wolf Larsen kills many of his crew members and the strength of crew is reduced day by day. Unable to accept the cruelty of Wolf, Humphrey and Brewster sail away from the ship in a boat and reach an island. Meanwhile Wolf Larsen’s brother Death Larsen, who is also a captain attacks him in vengeance and ends up destroying the Ghost. The Ghost finally crashes in the same island where Humphrey reached. The attack left Wolf Larsen paralyzed. In a situation Humphrey wanted to repair the ship, but Wolf Larsen resisting it in spite of his physical condition. However Humphrey takes care of him, though Wolf Larsen’s intentions are known to him. Whether fate or ill-fate of Wolf, he dies while they sail. Humphrey buries him in the sea itself and return home.",Action & Adventure,color,Blue
"Adventures of Huckleberry Finn is a children's novel by Mark Twain. Unlike other adventure stories, this adventure journey is not for fun but for the survival. A boy, whose life is, threatened none other than his own father.  A slave escapes from the custody of masters in fear of being sold. Both unite to fight for survival of them. Huckle caught between the legal battle of custody from his own drunkard father and his adopters. While the legal system is in favor of biological father, the boy does not want to live in his father’s shadows in fear of his father’s attitude towards him. He is kidnapped by his own father and locked in the room.  He creates alibi of his death and escapes from the custody. Jim, a slave escapes from his masters, when he hears the discussion between them about himself being sold.  Huckle and Jim meet together and they travel  through a threatening journey to safe living.",Action & Adventure,color,Blue
"Gramps stood apart from all this, and when he saw me he came running through the mob on spindly legs, waving his arms frantically so that I wouldn't miss him. As if I would. If there was anything more incongruous here on the Martian landscape, anything that seemed more out of place than did old Gramps, I didn't see it. Two hundred years ago in another homestead rush, maybe he would have fit. The only thing I know about that is what I read in books, but I could picture Gramps with his battered old corncob pipe and his wizened face, leading a team of mules or oxen or whatever animals they used.",Asteroids Fiction,color,Yellow
"Just in from a long haul searching for asteroid juncture points, Harvey entered the lobby of the Hotel de Mars and went straight to the registration desk. The woman at the desk, who was blond, and blue-eyed, and inclining to chubbiness, looked at him, smiled. The smile was of such quality that Harvey's singed brown face set into a mold of utter attention. He attentively studied the cheerful face while she made out slips, accepted his signature, accepted his money. After he had the key, after he had his change, after everything was taken care of, he still stood there. The woman smiled into his seamed eyes.",Asteroids Fiction,color,Yellow
"Published in the first decade of 20th century, this dystopian novel The Iron Heel is written by Jack London, an American novelist. An unusual literature of the time it was written, this is forerunner of soft science fiction novels of 19th century. This novel pays more attention towards changes in society and politics rather than technological changes.",Dystopian,color,Purple
"Have you ever imagined a world with one and only country? If you like to know, if a system could make a so called mechanism of unified state, read this fiction work A modern utopia of H.G.Wells.  Wells ideas of Utopia narrated about One currency, One Nation, One Economy, One Customs and One Law. Unlike Wells's other works, this is not to be called as a science fiction work. ""The relations of the sexes"", described by the author in this book is a reality today.",Dystopian,color,Purple
"Utopia, Written by Thomas more is recommended as most essential read along with “The Prince”, by Niccolo Machiavelli. Utopia is a philosophical work primarily concerned to guide the rulers which in effectively creates a better human society with ideal customs. The book is narrated in such a way that Utopia is a fictional Island where, ideal guide for a ruler is prepared base on the recommendations of a World Traveller who has gone through multifaceted customs.",Dystopian,color,Purple
"In the old story of the labyrinth at Crete, the Minotaur dwelling there devoured in his day innumerable youths and maidens. He was slain finally by the hero Theseus. The story goes that Theseus escaped both monster and death in the blind alleys of the labyrinth only because Ariadne was wise enough to furnish egress by means of her slender silken thread. There is a modern story of a labyrinth, differing from the old tale in that it has as yet no termination, no hero who has slain the Minotaur, no thread to guide those who enter its confusion of passages out to any clear safety beyond its winding darkness.",Families,color,Green
"My companion, Josiah, knew that my book was all finished and completed, and so one lovely day about half past four, P. M. in the afternoon, when he see me walk with a firm and even step up to the mantletry piece and take down my bottle of ink and my steel mounted pen, he says to me: “What are you goin’ to writin’ on now, Samantha?” Says I mildly, “I thought I’d lay to and write a preface to my book, Josiah. I thought I’d tell ’em that I had wrote it all down about you and I goin’ on a tower to Filadelfy village to see the Sentinel.”",Families,color,Green
"Meantime Bootles went wearily away, almost feeling his road under the veranda of the mess-rooms, along the broad pavé in front of the officers’ quarters, and up the wide flight of stone steps to his rooms facing the green of the barrack square.  Being the senior captain, with only one bachelor field-officer in the regiment, he had two large and pleasant rooms, not very grandly furnished, for, though a rich man, he was not an extravagant one, and saw no fun in having costly goods and chattels to be at the tender mercies of soldier servants; but they were neat, clean, and comfortable, with a sufficiency of great easy travelling-chairs, plenty of fur rugs, and lots of pretty little pictures and knickknacks.",Families,color,Green
"It was the most extraordinary thing that ever happened to anyone. I really hardly know how to begin to tell about it. I was doing my hair before the looking-glass in my bedroom—and I could not help noticing that it was rather a curious colour, though my eyes were nearly blinded by tears of rage, and something else. The rage was because Lilian and Audrey and Eveleen and Doris, and mother too, had been saying all the nasty things they could to me. The something else was because Benjamin Morgan had asked me to be his wife.",Families,color,Green
"The Blue Birds at Happy Hills is a friendship fiction story written by Lillian Elizabeth Roy who is Author Of The “Five Little Starrs” Series, Etc. A shrill whistle from the woods then told the three waiting children that Don and Dot Starr were half-way to the meeting place. The Blue Birds and Bobolinks were going to meet at the barn, known now as the Publishing Offices, to start thence for the ten-forty train to New York.",Families,color,Green
"The story of a father who neglects his responsibilities as the head of the family, a mother who thinks finding the bridegrooms for their daughters is the only goal in her life. Pride and Prejudice written by Jane Austen is narrated in the point of view of the key character of Elizabeth Bennet, the second of the five daughters. Elizabeth’s courtship with Fitzwilliam Darcy, a wealthy and eligible bachelor who owns a family estate is narrated by the author in a sequence of incidents which deal with 19th century England social issues of manners, morality and education.",Satire,color,Orange
"A Modest Proposal is written by Jonathan Swift, an Anglo-Irish writer, satirist and political pamphleteer. This most controversial satirical essay was written and published anonymously by the author, when Ireland was in deep trouble and the streets were full of beggars of female genre, who were unable to feed their children. Ireland which was ruled by England then, did not bother to listen to the poor Ireland people were dying in starvation. The author proposes satirically to sell the babies when they were one year old to the rich and fortunate people to eat them as a meat. Babies to be sold in the flesh market and can be eaten when they are chubby, tender and fresh.",Satire,color,Orange
"Don Juan, a satirical poem and is known as the masterpiece of the English poet Lord Byron, his short lyric She Walks in Beauty and lengthy narrative poem Childe Harold's Pilgrimage made him to be the celebrated poet of the England.",Satire,color,Orange
